IdUser,Username,Email,Password,PrimeiroNome,UltimoNome,Nacionalidade,Nascimento,Morada,Telefone,TipoConta,Saldo,Imagem,ApiToken,NIF
5,fabio,fabio@gmail.com,fabio,Fabio,Ramiros,Argentina,2000-06-21,"Rua cidade do sitio",919003389,Interessado,5001,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,206458070
10,jorge,jorge@gmail.com,jorge123,Jorge,Figueiredo,Portugal,2000-01-11,"Rua cidade de bissau",919003672,Inquilino,100,1622715780-1622160133-profileAvatar.png,ed5596d8-57ec-417b-a87c-7f0ac65c3691,508879116
11,francisco,francisco@gmail.com,francisco123,Francisco,Portugal,Portuguesa,2000-11-11,"Avenida do nada",910723471,Senhorio,15606,1622715780-1622160133-profileAvatar.png,9fcdc957-b2b4-4379-b3e9-3bb7a12714b2,508879116
12,madalena,madalena@gmail.com,madalena123,Madalena,Agua,Portuguesa,2000-11-11,"Avenida do nada",911693472,Senhorio,0,1622715780-1622160133-profileAvatar.png,12b9a2f4-f25c-4bc6-9957-a9d1e46748b7,508879116
13,afonso,afonso@gmail.com,afonso,Afonso,Ramiro,Portugal,2000-05-11,"Rua cidade do sitio",919003384,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
14,roque,roque@gmail.com,roque,Roque,Roque,Argentina,2000-05-11,"Rua cidade do sitio",919003383,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
15,Utilizador1,Utilizador1@gmail.com,passBasica,Utilizador1,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",919003385,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
16,Utilizador2,Utilizador2@gmail.com,passBasica,Utilizador2,Afonso,Portugal,2000-05-11,"Rua cidade do sitio",919003386,Senhorio,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
17,Utilizador3,Utilizador3@gmail.com,passBasica,Utilizador3,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",919003387,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
18,Utilizador4,Utilizador4@gmail.com,passBasica,Utilizador4,Figueiredo,Portugal,2000-05-11,"Rua cidade do sitio",919003388,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
19,Utilizador5,Utilizador5@gmail.com,passBasica,Utilizador5,Roque,Argentina,2000-05-11,"Rua cidade do sitio",919003389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
20,Utilizador6,Utilizador6@gmail.com,passBasica,Utilizador6,Ramiro,Portugal,2000-05-11,"Rua cidade do sitio",919003379,Senhorio,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
21,Utilizador7,Utilizador7@gmail.com,passBasica,Utilizador7,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",919003369,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
22,Utilizador8,Utilizador8@gmail.com,passBasica,Utilizador8,Miguel,Portugal,2000-05-11,"Rua cidade do sitio",919003359,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
23,Utilizador9,Utilizador9@gmail.com,passBasica,Utilizador9,Alphonso,Argentina,2000-05-11,"Rua cidade do sitio",919003349,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
24,Utilizador10,Utilizador10@gmail.com,passBasica,Utilizador10,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",919003339,Senhorio,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
25,Utilizador11,Utilizador11@gmail.com,passBasica,Utilizador11,Ramiro,Portugal,2000-05-11,"Rua cidade do sitio",919003329,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
26,Utilizador12,Utilizador12@gmail.com,passBasica,Utilizador12,Miguel,Portugal,2000-05-11,"Rua cidade do sitio",919003319,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
27,Utilizador13,Utilizador13@gmail.com,passBasica,Utilizador13,Alphonso,Argentina,2000-05-11,"Rua cidade do sitio",919003189,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
28,Utilizador14,Utilizador14@gmail.com,passBasica,Utilizador14,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",919003289,Senhorio,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
29,Utilizador15,Utilizador15@gmail.com,passBasica,Utilizador15,Ramiro,Portugal,2000-05-11,"Rua cidade do sitio",919003389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
30,Utilizador16,Utilizador16@gmail.com,passBasica,Utilizador16,Miguel,Portugal,2000-05-11,"Rua cidade do sitio",919003489,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
31,Utilizador17,Utilizador17@gmail.com,passBasica,Utilizador17,Alphonso,Argentina,2000-05-11,"Rua cidade do sitio",919005389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
32,Utilizador18,Utilizador18@gmail.com,passBasica,Utilizador18,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",919006389,Senhorio,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
